source,target,attributes
UCMSWPqzXjd7QHq7v8PJjQ,leMOR7VSm5z-0r60iJ90EA,"{'review_id': 'Xh0ZnldbRW4PaTgN4lgHIg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,YCDZfgCTE1qSby-NEVqyMg,"{'review_id': 'DgVNo0DjyFt7fUNtcyYTow', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,1CYe3tlYmSZmQ88De5oy4A,"{'review_id': 'mPU2UDiNU_r6Tq_YmdOGjQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,fg_b694eTkILTY25e6hzYw,"{'review_id': 'Jfb0VWiYi4W_UkT3bQ0DQg', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,JjS8bo5WVtujV39N_RTuuA,"{'review_id': 'FtrIWLWBeQir-NvP8zxXyA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,fAR5rwcF6jOpZIHzzJCsGw,"{'review_id': 'RbSw7Dn6-iwGH-UGeORLGA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,e1N-ogRFubZAon5nO27New,"{'review_id': 'e_eXOgG6KRbvS8NlXrU6cg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,vpLH_-4HElvpfGBVtHaQrw,"{'review_id': '7azfVxiL1w0y345342EmSQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,R-D_m0sHuc-RBV5d_4xNCw,"{'review_id': 'pl7rZOvDikoIx73oNp_yGw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,dAcD50ahUie1XXM0RxQzWQ,"{'review_id': 'WM_UWzFIaJUg_EVh5iUj0w', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,XZc9pY8aMZTWF9zko2qF7Q,"{'review_id': '0-XZHk-ncjLMML6DDdsk3w', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,FM0DHU-t1Po22-zWlZMnaw,"{'review_id': 'AJfG_9UCWs5Wb1wh6MaUyA', 'stars': 2}"
UCMSWPqzXjd7QHq7v8PJjQ,B534qw3uEzguScTyMe2Xvg,"{'review_id': '0hfNQhB13rf9HIe_t6UkMw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,iZTdaplsGKBlH6hstY_yFg,"{'review_id': 'zJjpEtqpd87-THXR_WryDg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,IZdsyVJ0q-Xlr14yUhfR-w,"{'review_id': '3QCvBvp7GLb8Irb9LeO7uA', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,nq5wPmGbrEyFIgyAELd34w,"{'review_id': 'BhpW2kA4hCcR8ZX0yBXSSg', 'stars': 5}"
